Metric                 Value           
---------------------------------------
Latency (avg)          566.32 ms       
Latency (median)       566.32 ms       
Latency (p95)          566.32 ms       
Latency (max)          566.32 ms       
Response Time (avg)    566.32 ms       
Error Rate             0.00%           
Cold Start Time        566.32 ms       
Throughput (req/s)     1.59            
Total Requests         1               
